Nov 05 21:48:41 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:43 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:45 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:47 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:49 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:51 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:53 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:55 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:57 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:48:59 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:01 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:03 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:05 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:07 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:09 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:11 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:13 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:15 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:17 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:19 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:21 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:23 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:25 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:27 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:29 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:31 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:33 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:35 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:37 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:39 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:41 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:43 vlxsam99 npm[1374931]: 📡 JobUpdate emitido para dee72994-190f-414f-9049-258b294b9573: Validando CVEs em VMSHO03.gruppen.com.br (nmap pid 1375279) (alive: true, status: running)
Nov 05 21:49:45 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:49:47 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:49:49 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:49:51 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:49:53 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:49:55 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:49:57 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:49:59 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:01 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:03 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:05 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:07 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:09 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:11 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:13 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:15 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:17 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:19 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:21 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:23 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:25 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:27 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:29 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:31 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:33 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:35 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:37 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:39 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:41 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:43 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:45 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:47 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:49 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
Nov 05 21:50:51 vlxsam99 npm[1374931]: 🚫 Job dee72994-190f-414f-9049-258b294b9573 em estado terminal (timeout), ignorando update de processo
